Title,Subtitle,Authors,Year,Publisher,Referenced,Versions
Blip-2: Bootstrapping language-image pre-training with frozen image encoders and large language models,International conference on …,"J Li, D Li, S Savarese, S Hoi",2023,proceedings.mlr.press,1509,6
"Large language models and simple, stupid bugs",2023 IEEE/ACM 20th …,"K Jesse, T Ahmed, PT Devanbu…",2023,ieeexplore.ieee.org,11,6
Encouraging divergent thinking in large language models through multi-agent debate,arXiv preprint arXiv …,"T Liang, Z He, W Jiao, X Wang, Y Wang…",2023,arxiv.org,94,3
Academic Integrity considerations of AI Large Language Models in the post-pandemic era: ChatGPT and beyond,Journal of university teaching & learning practice,M Perkins,2023,ro.uow.edu.au,222,3
[HTML] ChatGPT and the rise of large language models: the new AI-driven infodemic threat in public health,Frontiers in Public …,"L De Angelis, F Baglivo, G Arzilli, GP Privitera…",2023,frontiersin.org,216,10
ChatGPT and a new academic reality: Artificial Intelligence‐written research papers and the ethics of the large language models in scholarly publishing,Journal of the …,"BD Lund, T Wang, NR Mannuru, B Nie…",2023,Wiley Online Library,285,9
Least-to-most prompting enables complex reasoning in large language models,arXiv preprint arXiv …,"D Zhou, N Schärli, L Hou, J Wei, N Scales…",2022,arxiv.org,607,6
Expectation vs. experience: Evaluating the usability of code generation tools powered by large language models,Chi conference on human …,"P Vaithilingam, T Zhang, EL Glassman",2022,dl.acm.org,305,6
Check your facts and try again: Improving large language models with external knowledge and automated feedback,arXiv preprint arXiv …,"B Peng, M Galley, P He, H Cheng, Y Xie, Y Hu…",2023,arxiv.org,219,2
Llmscore: Unveiling the power of large language models in text-to-image synthesis evaluation,Advances in Neural …,"Y Lu, X Yang, X Li, XE Wang…",2024,proceedings.neurips.cc,10,4
Gpts are gpts: An early look at the labor market impact potential of large language models,arXiv preprint arXiv …,"T Eloundou, S Manning, P Mishkin, D Rock",2023,arxiv.org,415,20
[HTML] … Does ChatGPT Perform on the United States Medical Licensing Examination (USMLE)? The Implications of Large Language Models for Medical Education …,JMIR Medical …,"A Gilson, CW Safranek, T Huang, V Socrates…",2023,mededu.jmir.org,722,10
[HTML] Diagnostic accuracy of a large language model in rheumatology: comparison of physician and ChatGPT-4,Rheumatology international,"M Krusche, J Callhoff, J Knitza, N Ruffer",2024,Springer,12,7
Ai chains: Transparent and controllable human-ai interaction by chaining large language model prompts,Proceedings of the 2022 CHI conference on …,"T Wu, M Terry, CJ Cai",2022,dl.acm.org,244,7
A domain-specific next-generation large language model (LLM) or ChatGPT is required for biomedical engineering and research,Annals of Biomedical …,"S Pal, M Bhattacharya, SS Lee…",2024,Springer,21,3
"[HTML] Large language models in radiology: fundamentals, applications, ethical considerations, risks, and future directions",Diagnostic and …,"TA D'Antonoli, A Stanzione, C Bluethgen…",2024,ncbi.nlm.nih.gov,9,9
Once: Boosting content-based recommendation with both open-and closed-source large language models,… Conference on Web Search and Data …,"Q Liu, N Chen, T Sakai, XM Wu",2024,dl.acm.org,9,1
Mindmap: Knowledge graph prompting sparks graph of thoughts in large language models,arXiv preprint arXiv:2308.09729,"Y Wen, Z Wang, J Sun",2023,arxiv.org,19,4
Characterization of large language model development in the datacenter,arXiv preprint arXiv …,"Q Hu, Z Ye, Z Wang, G Wang, M Zhang, Q Chen…",2024,arxiv.org,1,1
Palm-e: An embodied multimodal language model,arXiv preprint arXiv …,"D Driess, F Xia, MSM Sajjadi, C Lynch…",2023,arxiv.org,696,6
Large language models know your contextual search intent: A prompting framework for conversational search,arXiv preprint arXiv …,"K Mao, Z Dou, F Mo, J Hou, H Chen, H Qian",2023,arxiv.org,26,5
[PDF] Spear Phishing With Large Language Models,arXiv preprint arXiv:2305.06972,J Hazell,2023,cdn.governance.ai,2,1
Unleashing cheapfakes through trojan plugins of large language models,arXiv preprint arXiv …,"T Dong, G Chen, S Li, M Xue, R Holland…",2023,arxiv.org,2,2
QUILL: Query intent with large language models using retrieval augmentation and multi-stage distillation,arXiv preprint arXiv …,"K Srinivasan, K Raman, A Samanta, L Liao…",2022,arxiv.org,15,4
Efficient large-scale language model training on gpu clusters using megatron-lm,Proceedings of the …,"D Narayanan, M Shoeybi, J Casper…",2021,dl.acm.org,380,11
Strategies for training large scale neural network language models,2011 IEEE Workshop …,"T Mikolov, A Deoras, D Povey, L Burget…",2011,ieeexplore.ieee.org,698,9
Aligning Large Language Models for Controllable Recommendations,arXiv preprint arXiv …,"W Lu, J Lian, W Zhang, G Li, M Zhou, H Liao…",2024,arxiv.org,1,2
Language is not all you need: Aligning perception with language models,Advances in …,"S Huang, L Dong, W Wang, Y Hao…",2024,proceedings.neurips.cc,236,4
[PDF] IRSTLM: an open source toolkit for handling large scale language models.,,"M Federico, N Bertoldi, M Cettolo",isca,archive.org,425,8
[PDF] AI Psychometrics: Using psychometric inventories to obtain psychological profiles of large language models,OSF preprint,"M Pellert, CM Lechner, C Wagner, B Rammstedt…",2023,files.osf.io,15,1
German's next language model,arXiv preprint arXiv:2010.10906,"B Chan, S Schweter, T Möller",2020,arxiv.org,223,4
Open-ended instructable embodied agents with memory-augmented large language models,arXiv preprint arXiv:2310.15127,"G Sarch, Y Wu, MJ Tarr, K Fragkiadaki",2023,arxiv.org,3,4
Llm comparative assessment: Zero-shot nlg evaluation through pairwise comparisons using large language models,… of the 18th Conference of the …,"A Liusie, P Manakul, M Gales",2024,aclanthology.org,4,1
Maria: Spanish language models,arXiv preprint arXiv …,A Gutiérrez,2021,arxiv.org,163,10
Recent advances in natural language processing via large pre-trained language models: A survey,ACM Computing …,"B Min, H Ross, E Sulem, APB Veyseh…",2023,dl.acm.org,361,5
[PDF] N-gram Counts and Language Models from the Common Crawl.,LREC,"C Buck, K Heafield, B Van Ooyen",2014,171.64.67.140,219,17
Mixout: Effective regularization to finetune large-scale pretrained language models,arXiv preprint arXiv:1909.11299,"C Lee, K Cho, W Kang",2019,arxiv.org,180,6
Palm: Scaling language modeling with pathways,Journal of Machine …,"A Chowdhery, S Narang, J Devlin, M Bosma…",2023,jmlr.org,3101,9
Evaluation high-quality of information from ChatGPT (artificial intelligence—large language model) artificial intelligence on shoulder stabilization surgery,… : The Journal of …,"ET Hurley, BS Crook, SG Lorentz…",2024,Elsevier,9,4
Sasha: creative goal-oriented reasoning in smart homes with large language models,Proceedings of the ACM on Interactive …,"E King, H Yu, S Lee, C Julien",2024,dl.acm.org,2,2
Overview of the clpsych 2024 shared task: Leveraging large language models to identify evidence of suicidality risk in online posts,Proceedings of the …,"J Chim, A Tsakalidis, D Gkoumas…",2024,aclanthology.org,10,1
CamemBERT: a tasty French language model,arXiv preprint arXiv …,"L Martin, B Muller, PJO Suárez, Y Dupont…",2019,arxiv.org,1012,10
Large vocabulary speech recognition with multispan statistical language models,IEEE Transactions on Speech and Audio …,JR Bellegarda,2000,ieeexplore.ieee.org,357,11
[HTML] How to use large language models in ophthalmology: from prompt engineering to protecting confidentiality,Eye,"O Kleinig, C Gao, JG Kovoor, AK Gupta, S Bacchi…",2024,nature.com,3,4
Solving quantitative reasoning problems with language models,Advances in …,"A Lewkowycz, A Andreassen…",2022,proceedings.neurips.cc,376,7
Towards end-to-end 4-bit inference on generative large language models,arXiv preprint arXiv …,"S Ashkboos, I Markov, E Frantar, T Zhong…",2023,arxiv.org,4,3
[HTML] Parameter-efficient fine-tuning of large-scale pre-trained language models,Nature Machine …,"N Ding, Y Qin, G Yang, F Wei, Z Yang, Y Su…",2023,nature.com,179,3
[PDF] Decoding with large-scale neural language models improves translation,… in natural language …,"A Vaswani, Y Zhao, V Fossum…",2013,aclanthology.org,297,9
Language models are weak learners,Advances in Neural …,"H Manikandan, Y Jiang…",2023,proceedings.neurips.cc,2,5
"Using deepspeed and megatron to train megatron-turing nlg 530b, a large-scale generative language model",arXiv preprint arXiv …,"S Smith, M Patwary, B Norick, P LeGresley…",2022,arxiv.org,459,4
Megatron-lm: Training multi-billion parameter language models using model parallelism,arXiv preprint arXiv …,"M Shoeybi, M Patwary, R Puri, P LeGresley…",2019,arxiv.org,1239,4
Scaling laws for neural language models,arXiv preprint arXiv …,"J Kaplan, S McCandlish, T Henighan, TB Brown…",2020,arxiv.org,1030,7
A multispan language modeling framework for large vocabulary speech recognition,IEEE Transactions on Speech and Audio …,JR Bellegarda,1998,ieeexplore.ieee.org,261,13
Pal: Program-aided language models,International …,"L Gao, A Madaan, S Zhou, U Alon…",2023,proceedings.mlr.press,352,9
"Robustness, security, privacy, explainability, efficiency, and usability of large language models for code",arXiv preprint arXiv:2403.07506,"Z Yang, Z Sun, TZ Yue, P Devanbu, D Lo",2024,arxiv.org,1,2
Code as policies: Language model programs for embodied control,… on Robotics and …,"J Liang, W Huang, F Xia, P Xu…",2023,ieeexplore.ieee.org,325,4
Retrieval-augmented multi-modal chain-of-thoughts reasoning for large language models,arXiv preprint arXiv …,"B Liu, C Lyu, Z Min, Z Wang, J Su, L Wang",2023,arxiv.org,2,2
Api is enough: Conformal prediction for large language models without logit-access,arXiv preprint arXiv:2403.01216,"J Su, J Luo, H Wang, L Cheng",2024,arxiv.org,1,2
Differentially private fine-tuning of language models,arXiv preprint arXiv …,"D Yu, S Naik, A Backurs, S Gopi, HA Inan…",2021,arxiv.org,204,3
Release strategies and the social impacts of language models,arXiv preprint arXiv …,"I Solaiman, M Brundage, J Clark, A Askell…",2019,arxiv.org,385,4
Quantifying memorization across neural language models,arXiv preprint arXiv …,"N Carlini, D Ippolito, M Jagielski, K Lee…",2022,arxiv.org,353,6
[HTML] Framework-based qualitative analysis of free responses of Large Language Models: Algorithmic fidelity,Plos one,"A Amirova, T Fteropoulli, N Ahmed, MR Cowie…",2024,journals.plos.org,1,2
[HTML] On the limitations of large language models in clinical diagnosis,medRxiv,"JT Reese, D Danis, JH Caufield, T Groza, E Casiraghi…",2023,ncbi.nlm.nih.gov,4,5
[PDF] Could large language models be conscious? A perspective from the free energy principle,"PhilArchive,  Feb",W Wiese,2023,core.ac.uk,6,1
Lost in translation: A study of bugs introduced by large language models while translating code,2024 IEEE/ACM 46th …,"R Pan, AR Ibrahimzada, R Krishna…",2024,computer.org,1,2
[PDF] Language models of protein sequences at the scale of evolution enable accurate structure prediction,BioRxiv,"Z Lin, H Akin, R Rao, B Hie, Z Zhu, W Lu…",2022,biorxiv.org,311,3
On the dangers of stochastic parrots: Can language models be too big?🦜,Proceedings of the 2021 …,"EM Bender, T Gebru, A McMillan",2021,dl.acm.org,3322,11
Exploring the limits of language modeling,arXiv preprint arXiv …,"R Jozefowicz, O Vinyals, M Schuster…",2016,arxiv.org,1338,7
Scaling instruction-finetuned language models,arXiv preprint arXiv …,"HW Chung, L Hou, S Longpre, B Zoph, Y Tay…",2022,arxiv.org,1388,2
SciBERT: A pretrained language model for scientific text,arXiv preprint arXiv:1903.10676,"I Beltagy, K Lo, A Cohan",2019,arxiv.org,2895,6
Language models as knowledge bases?,arXiv preprint arXiv …,"F Petroni, T Rocktäschel, P Lewis, A Bakhtin…",2019,arxiv.org,2145,7
[PDF] Self-specialization: Uncovering latent expertise within large language models,arXiv preprint arXiv …,"J Kang, H Luo, JG Yada Zhu, D Cox…",2023,southnlp.github.io,2,2
Evolutionary-scale prediction of atomic-level protein structure with a language model,Science,"Z Lin, H Akin, R Rao, B Hie, Z Zhu, W Lu, N Smetanin…",2023,science.org,943,8
CLLMs: Consistency Large Language Models,arXiv preprint arXiv:2403.00835,"S Kou, L Hu, Z He, Z Deng, H Zhang",2024,arxiv.org,0,1
Connectionist language modeling for large vocabulary continuous speech recognition,2002 IEEE International Conference …,"H Schwenk, JL Gauvain",2002,ieeexplore.ieee.org,186,11
Continuous space language models,Computer Speech & Language,H Schwenk,2007,Elsevier,660,6
Direct preference optimization: Your language model is secretly a reward model,Advances in …,"R Rafailov, A Sharma, E Mitchell…",2024,proceedings.neurips.cc,390,8
Utilizing large language models to identify evidence of suicidality risk through analysis of emotionally charged posts,Proceedings of the 9th …,"AY Uluslu, A Michail, S Clematide",2024,aclanthology.org,2,2
Retrieval augmented language model pre-training,… on machine learning,"K Guu, K Lee, Z Tung, P Pasupat…",2020,proceedings.mlr.press,1317,10
Language models are few-shot learners,Advances in neural …,"T Brown, B Mann, N Ryder…",2020,proceedings.neurips.cc,22693,33
Training language models to follow instructions with human feedback,Advances in neural …,"L Ouyang, J Wu, X Jiang, D Almeida…",2022,proceedings.neurips.cc,5539,17
Supervised contrastive learning for pre-trained language model fine-tuning,arXiv preprint arXiv:2011.01403,"B Gunel, J Du, A Conneau, V Stoyanov",2020,arxiv.org,389,4
Can language models learn from explanations in context?,arXiv preprint arXiv …,"AK Lampinen, I Dasgupta, SCY Chan…",2022,arxiv.org,183,7
Materials science in the era of large language models: a perspective,arXiv preprint arXiv:2403.06949,"G Lei, R Docherty, SJ Cooper",2024,arxiv.org,0,1
Large pre-trained language models contain human-like biases of what is right and wrong to do,Nature Machine …,"P Schramowski, C Turan, N Andersen…",2022,nature.com,161,10
How can Transformers and large language models like ChatGPT help LCA practitioners?,Available at SSRN 4402262,"S Cornago, S Ramakrishna, J Low",2023,papers.ssrn.com,5,2
Ctrl: A conditional transformer language model for controllable generation,arXiv preprint arXiv …,"NS Keskar, B McCann, LR Varshney, C Xiong…",2019,arxiv.org,1050,2
Finbert: A pretrained language model for financial communications,arXiv preprint arXiv:2006.08097,"Y Yang, MCS Uy, A Huang",2020,arxiv.org,203,3
HAMiSoN-Generative at ClimateActivism 2024: Stance Detection using generative large language models,Proceedings of the 7th Workshop …,JM Fraile,2024,aclanthology.org,1,2
Show your work: Scratchpads for intermediate computation with language models,arXiv preprint arXiv …,"M Nye, AJ Andreassen, G Gur",2021,arxiv.org,383,4
Opt: Open pre-trained transformer language models,arXiv preprint arXiv …,"S Zhang, S Roller, N Goyal, M Artetxe, M Chen…",2022,arxiv.org,1484,2
MAPLE: Mobile App Prediction Leveraging Large Language model Embeddings,Proceedings of the ACM on Interactive …,"Y Khaokaew, H Xue, FD Salim",2024,dl.acm.org,0,1
[PDF] Bloom: A 176b-parameter open-access multilingual language model,,"T Le Scao, A Fan, C Akiki, E Pavlick, S Ilić, D Hesslow…",2022,inria.hal.science,1076,11
Editing Conceptual Knowledge for Large Language Models,arXiv preprint arXiv …,"X Wang, S Mao, N Zhang, S Deng, Y Yao…",2024,arxiv.org,0,1
Flamingo: a visual language model for few-shot learning,Advances in neural …,"JB Alayrac, J Donahue, P Luc…",2022,proceedings.neurips.cc,1689,5
Compositional morphology for word representations and language modelling,International Conference on Machine …,"J Botha, P Blunsom",2014,proceedings.mlr.press,294,17
Glam: Efficient scaling of language models with mixture-of-experts,International …,"N Du, Y Huang, AM Dai, S Tong…",2022,proceedings.mlr.press,316,5
[HTML] Clinical decision support for bipolar depression using large language models,…,"RH Perlis, JF Goldberg, MJ Ostacher…",2024,nature.com,0,1
SaulLM-7B: A pioneering Large Language Model for Law,arXiv preprint arXiv …,"P Colombo, TP Pires, M Boudiaf, D Culver…",2024,arxiv.org,0,1
LLM-GEm: Large language model-guided prediction of people's empathy levels towards newspaper article,Findings of the …,"MR Hasan, MZ Hossain, T Gedeon…",2024,aclanthology.org,1,1
On the Origins of Linear Representations in Large Language Models,arXiv preprint arXiv …,"Y Jiang, G Rajendran, P Ravikumar, B Aragam…",2024,arxiv.org,0,1
Response to Comment for “Understanding Radiological Journal Views and Policies on Large Language Models in Academic Writing”,Journal of the American College of …,"H Li, JT Moon, HM Trivedi, JW Gichoya",2023,jacr.org,3,5
[PDF] A dynamic language model for speech recognition,… and Natural Language …,"F Jelinek, B Merialdo, S Roukos…",1991,aclanthology.org,242,8
Number without a language model,Proceedings of the …,"E Spaepen, M Coppola, ES Spelke…",2011,National Acad Sciences,223,24
[PDF] Scalable modified Kneser-Ney language model estimation,Proceedings of the 51st …,"K Heafield, I Pouzyrevsky, JH Clark…",2013,aclanthology.org,677,12
Progen: Language modeling for protein generation,arXiv preprint arXiv …,"A Madani, B McCann, N Naik, NS Keskar…",2020,arxiv.org,229,11
The estimation of powerful language models from small and large corpora,1993 IEEE International …,"P Placeway, R Schwartz, P Fung…",1993,ieeexplore.ieee.org,157,10
[PDF] Language models are unsupervised multitask learners,OpenAI blog,"A Radford, J Wu, R Child, D Luan, D Amodei…",2019,blocksml.com,9114,32
Multimodal chain-of-thought reasoning in language models,arXiv preprint arXiv …,"Z Zhang, A Zhang, M Li, H Zhao, G Karypis…",2023,arxiv.org,162,3
Language modeling with gated convolutional networks,… conference on machine …,"YN Dauphin, A Fan, M Auli…",2017,proceedings.mlr.press,2479,12
Gpt-neox-20b: An open-source autoregressive language model,arXiv preprint arXiv …,"S Black, S Biderman, E Hallahan, Q Anthony…",2022,arxiv.org,476,7
Linkbert: Pretraining language models with document links,arXiv preprint arXiv:2203.15827,"M Yasunaga, J Leskovec, P Liang",2022,arxiv.org,210,11
Language models (mostly) know what they know,arXiv preprint arXiv …,"S Kadavath, T Conerly, A Askell, T Henighan…",2022,arxiv.org,201,2
Learning differentially private recurrent language models,arXiv preprint arXiv …,"HB McMahan, D Ramage, K Talwar…",2017,arxiv.org,1202,6
Toolformer: Language models can teach themselves to use tools,Advances in …,"T Schick, J Dwivedi",2024,proceedings.neurips.cc,677,4
Self-instruct: Aligning language models with self-generated instructions,arXiv preprint arXiv …,"Y Wang, Y Kordi, S Mishra, A Liu, NA Smith…",2022,arxiv.org,849,8
LLMvsSmall Model? Large Language Model Based Text Augmentation Enhanced Personality Detection Model,arXiv preprint arXiv …,"L Hu, H He, D Wang, Z Zhao, Y Shao, L Nie",2024,arxiv.org,0,1
Instructblip: Towards general-purpose vision-language models with instruction tuning,Advances in …,"W Dai, J Li, D Li, AMH Tiong, J Zhao…",2024,proceedings.neurips.cc,415,6
ZVQAF: Zero-shot visual question answering with feedback from large language models,Neurocomputing,"C Liu, C Wang, Y Peng, Z Li",2024,Elsevier,0,1
Building resilient SMEs: Harnessing large language models for cyber security in Australia,"Journal of AI,  Robotics & Workplace …",B Kereopa,2024,ingentaconnect.com,4,2
The pile: An 800gb dataset of diverse text for language modeling,arXiv preprint arXiv …,"L Gao, S Biderman, S Black, L Golding…",2020,arxiv.org,392,7
On Protecting the Data Privacy of Large Language Models (LLMs): A Survey,arXiv preprint arXiv …,"B Yan, K Li, M Xu, Y Dong, Y Zhang, Z Ren…",2024,arxiv.org,0,1
[PDF] Lstm neural networks for language modeling.,,"M Sundermeyer, R Schlüter, H Ney",isca,archive.org,2651,9
BERTweet: A pre-trained language model for English Tweets,arXiv preprint arXiv:2005.10200,"DQ Nguyen, T Vu, AT Nguyen",2020,arxiv.org,798,7
