ID_paper,Title,Subtitle,Authors,Year,Publisher,Referenced,Versions
21,Training compute-optimal large language models,arXiv preprint arXiv …,"J Hoffmann, S Borgeaud, A Mensch…",2022,arxiv.org,852,6
22,Openassistant conversations-democratizing large language model alignment,Advances in …,"A Köpf, Y Kilcher, D von Rütte…",2024,proceedings.neurips.cc,211,5
23,[HTML] Large language models encode clinical knowledge,Nature,"K Singhal, S Azizi, T Tu, SS Mahdavi, J Wei, HW Chung…",2023,nature.com,505,9
24,Evaluating large language models trained on code,arXiv preprint arXiv …,"M Chen, J Tworek, H Jun, Q Yuan, HPO Pinto…",2021,arxiv.org,1815,2
25,Large language models encode clinical knowledge,arXiv preprint arXiv …,"K Singhal, S Azizi, T Tu, SS Mahdavi, J Wei…",2022,arxiv.org,313,9
26,Large language models are zero-shot reasoners,Advances in neural …,"T Kojima, SS Gu, M Reid, Y Matsuo…",2022,proceedings.neurips.cc,1649,7
27,Persistent anti-muslim bias in large language models,Proceedings of the 2021 AAAI/ACM …,"A Abid, M Farooqi, J Zou",2021,dl.acm.org,363,6
28,Minigpt-4: Enhancing vision-language understanding with advanced large language models,arXiv preprint arXiv …,"D Zhu, J Chen, X Shen, X Li, M Elhoseiny",2023,arxiv.org,816,7
29,Large language models are human-level prompt engineers,arXiv preprint arXiv …,"Y Zhou, AI Muresanu, Z Han, K Paster, S Pitis…",2022,arxiv.org,408,7
30,Large language models are zero-shot rankers for recommender systems,… on Information Retrieval,"Y Hou, J Zhang, Z Lin, H Lu, R Xie, J McAuley…",2024,Springer,109,2
31,[HTML] Summary of chatgpt-related research and perspective towards the future of large language models,Radiology,"Y Liu, T Han, S Ma, J Zhang, Y Yang, J Tian, H He, A Li…",2023,Elsevier,389,3
32,Tabllm: Few-shot classification of tabular data with large language models,International …,"S Hegselmann, A Buendia, H Lang…",2023,proceedings.mlr.press,94,4
33,Lora: Low-rank adaptation of large language models,arXiv preprint arXiv …,"EJ Hu, Y Shen, P Wallis, Z Allen",2021,arxiv.org,3006,8
34,Tree of thoughts: Deliberate problem solving with large language models,Advances in …,"S Yao, D Yu, J Zhao, I Shafran…",2024,proceedings.neurips.cc,627,7
35,Can large language models transform computational social science?,Computational …,"C Ziems, W Held, O Shaikh, J Chen, Z Zhang…",2024,direct.mit.edu,148,7
36,Codegen: An open large language model for code with multi-turn program synthesis,arXiv preprint arXiv …,"E Nijkamp, B Pang, H Hayashi, L Tu, H Wang…",2022,arxiv.org,423,3
37,mplug-owl: Modularization empowers large language models with multimodality,arXiv preprint arXiv …,"Q Ye, H Xu, G Xu, J Ye, M Yan, Y Zhou, J Wang…",2023,arxiv.org,324,3
38,Wizardlm: Empowering large language models to follow complex instructions,arXiv preprint arXiv …,"C Xu, Q Sun, K Zheng, X Geng, P Zhao, J Feng…",2023,arxiv.org,289,2
39,Large language models can be strong differentially private learners,arXiv preprint arXiv:2110.05679,"X Li, F Tramer, P Liang, T Hashimoto",2021,arxiv.org,223,4
40,Should chatgpt be biased? challenges and risks of bias in large language models,arXiv preprint arXiv:2304.03738,E Ferrara,2023,arxiv.org,153,5
41,Pythia: A suite for analyzing large language models across training and scaling,International …,"S Biderman, H Schoelkopf…",2023,proceedings.mlr.press,360,7
42,ChatGPT and other large language models are double-edged swords,Radiology,"Y Shen, L Heacock, J Elias, KD Hentel, B Reig, G Shih…",2023,pubs.rsna.org,445,5
43,Smoothquant: Accurate and efficient post-training quantization for large language models,International …,"G Xiao, J Lin, M Seznec, H Wu…",2023,proceedings.mlr.press,233,8
44,Chain-of-thought prompting elicits reasoning in large language models,Advances in neural …,"J Wei, X Wang, D Schuurmans…",2022,proceedings.neurips.cc,3932,12
45,Llmrec: Large language models with graph augmentation for recommendation,Proceedings of the 17th …,"W Wei, X Ren, J Tang, Q Wang, L Su, S Cheng…",2024,dl.acm.org,31,2
46,Prompt programming for large language models: Beyond the few-shot paradigm,Extended Abstracts of the 2021 CHI …,"L Reynolds, K McDonell",2021,dl.acm.org,505,3
47,Progprompt: Generating situated robot task plans using large language models,… on Robotics and …,"I Singh, V Blukis, A Mousavian, A Goyal…",2023,ieeexplore.ieee.org,300,5
48,Towards expert-level medical question answering with large language models,arXiv preprint arXiv …,"K Singhal, T Tu, J Gottweis, R Sayres…",2023,arxiv.org,227,3
49,Large language models generate functional protein sequences across diverse families,Nature …,"A Madani, B Krause, ER Greene, S Subramanian…",2023,nature.com,314,10
50,Automatic chain of thought prompting in large language models,arXiv preprint arXiv:2210.03493,"Z Zhang, A Zhang, M Li, A Smola",2022,arxiv.org,354,4
51,Selection-inference: Exploiting large language models for interpretable logical reasoning,arXiv preprint arXiv:2205.09712,"A Creswell, M Shanahan, I Higgins",2022,arxiv.org,193,3
52,[PDF] Theory of mind may have spontaneously emerged in large language models,arXiv preprint arXiv:2302.02083,M Kosinski,2023,pasqualeborriello.com,211,6
53,Graph of thoughts: Solving elaborate problems with large language models,arXiv preprint arXiv …,"M Besta, N Blach, A Kubicek, R Gerstenberger…",2023,arxiv.org,176,5
54,[HTML] Exploring human-like translation strategy with large language models,Transactions of the …,"Z He, T Liang, W Jiao, Z Zhang, Y Yang…",2024,direct.mit.edu,23,3
55,Automatic generation of programming exercises and code explanations using large language models,Proceedings of the 2022 ACM …,"S Sarsa, P Denny, A Hellas, J Leinonen",2022,dl.acm.org,224,9
56,[HTML] Performance of ChatGPT on USMLE: potential for AI-assisted medical education using large language models,PLoS digital …,"TH Kung, M Cheatham, A Medenilla, C Sillos…",2023,journals.plos.org,1537,12
57,3d-llm: Injecting the 3d world into large language models,Advances in …,"Y Hong, H Zhen, P Chen, S Zheng…",2023,proceedings.neurips.cc,18,6
58,What can large language models do in chemistry? a comprehensive benchmark on eight tasks,Advances in …,"T Guo, B Nan, Z Liang, Z Guo…",2023,proceedings.neurips.cc,18,3
59,Siren's song in the AI ocean: a survey on hallucination in large language models,arXiv preprint arXiv …,"Y Zhang, Y Li, L Cui, D Cai, L Liu, T Fu…",2023,arxiv.org,229,2
60,Voyager: An open-ended embodied agent with large language models,arXiv preprint arXiv …,"G Wang, Y Xie, Y Jiang, A Mandlekar, C Xiao…",2023,arxiv.org,306,4
61,Blip-2: Bootstrapping language-image pre-training with frozen image encoders and large language models,International conference on …,"J Li, D Li, S Savarese, S Hoi",2023,proceedings.mlr.press,1512,6
62,Academic Integrity considerations of AI Large Language Models in the post-pandemic era: ChatGPT and beyond,Journal of university teaching & learning practice,M Perkins,2023,ro.uow.edu.au,222,3
63,[HTML] ChatGPT and the rise of large language models: the new AI-driven infodemic threat in public health,Frontiers in Public …,"L De Angelis, F Baglivo, G Arzilli, GP Privitera…",2023,frontiersin.org,216,10
64,ChatGPT and a new academic reality: Artificial Intelligence‐written research papers and the ethics of the large language models in scholarly publishing,Journal of the …,"BD Lund, T Wang, NR Mannuru, B Nie…",2023,Wiley Online Library,287,9
65,Least-to-most prompting enables complex reasoning in large language models,arXiv preprint arXiv …,"D Zhou, N Schärli, L Hou, J Wei, N Scales…",2022,arxiv.org,609,6
66,Expectation vs. experience: Evaluating the usability of code generation tools powered by large language models,Chi conference on human …,"P Vaithilingam, T Zhang, EL Glassman",2022,dl.acm.org,305,6
67,Check your facts and try again: Improving large language models with external knowledge and automated feedback,arXiv preprint arXiv …,"B Peng, M Galley, P He, H Cheng, Y Xie, Y Hu…",2023,arxiv.org,219,2
68,Gpts are gpts: An early look at the labor market impact potential of large language models,arXiv preprint arXiv …,"T Eloundou, S Manning, P Mishkin, D Rock",2023,arxiv.org,416,20
69,[HTML] Diagnostic accuracy of a large language model in rheumatology: comparison of physician and ChatGPT-4,Rheumatology international,"M Krusche, J Callhoff, J Knitza, N Ruffer",2024,Springer,13,7
70,[HTML] … Does ChatGPT Perform on the United States Medical Licensing Examination (USMLE)? The Implications of Large Language Models for Medical Education …,JMIR Medical …,"A Gilson, CW Safranek, T Huang, V Socrates…",2023,mededu.jmir.org,724,10
71,Understanding the benefits and challenges of deploying conversational AI leveraging large language models for public health intervention,… of the 2023 CHI Conference on …,"E Jo, DA Epstein, H Jung, YH Kim",2023,dl.acm.org,48,4
72,Ai chains: Transparent and controllable human-ai interaction by chaining large language model prompts,Proceedings of the 2022 CHI conference on …,"T Wu, M Terry, CJ Cai",2022,dl.acm.org,244,7
73,A Sentence is Worth a Thousand Pictures: Can Large Language Models Understand Human Language?,arXiv preprint arXiv:2308.00109,"G Marcus, E Leivada, E Murphy",2023,arxiv.org,4,2
74,A domain-specific next-generation large language model (LLM) or ChatGPT is required for biomedical engineering and research,Annals of Biomedical …,"S Pal, M Bhattacharya, SS Lee…",2024,Springer,21,3
75,"[HTML] Large language models in radiology: fundamentals, applications, ethical considerations, risks, and future directions",Diagnostic and …,"TA D'Antonoli, A Stanzione, C Bluethgen…",2024,ncbi.nlm.nih.gov,9,9
76,Once: Boosting content-based recommendation with both open-and closed-source large language models,… Conference on Web Search and Data …,"Q Liu, N Chen, T Sakai, XM Wu",2024,dl.acm.org,9,1
77,Mindmap: Knowledge graph prompting sparks graph of thoughts in large language models,arXiv preprint arXiv:2308.09729,"Y Wen, Z Wang, J Sun",2023,arxiv.org,19,4
78,Characterization of large language model development in the datacenter,arXiv preprint arXiv …,"Q Hu, Z Ye, Z Wang, G Wang, M Zhang, Q Chen…",2024,arxiv.org,1,1
79,Palm-e: An embodied multimodal language model,arXiv preprint arXiv …,"D Driess, F Xia, MSM Sajjadi, C Lynch…",2023,arxiv.org,698,6
80,Large language models know your contextual search intent: A prompting framework for conversational search,arXiv preprint arXiv …,"K Mao, Z Dou, F Mo, J Hou, H Chen, H Qian",2023,arxiv.org,26,5
81,[PDF] Spear Phishing With Large Language Models,arXiv preprint arXiv:2305.06972,J Hazell,2023,cdn.governance.ai,2,1
82,Unleashing cheapfakes through trojan plugins of large language models,arXiv preprint arXiv …,"T Dong, G Chen, S Li, M Xue, R Holland…",2023,arxiv.org,2,2
83,QUILL: Query intent with large language models using retrieval augmentation and multi-stage distillation,arXiv preprint arXiv …,"K Srinivasan, K Raman, A Samanta, L Liao…",2022,arxiv.org,15,4
84,Efficient large-scale language model training on gpu clusters using megatron-lm,Proceedings of the …,"D Narayanan, M Shoeybi, J Casper…",2021,dl.acm.org,380,11
85,Strategies for training large scale neural network language models,2011 IEEE Workshop …,"T Mikolov, A Deoras, D Povey, L Burget…",2011,ieeexplore.ieee.org,699,9
86,Aligning Large Language Models for Controllable Recommendations,arXiv preprint arXiv …,"W Lu, J Lian, W Zhang, G Li, M Zhou, H Liao…",2024,arxiv.org,1,2
87,[PDF] Creating large language model applications utilizing langchain: A primer on developing llm apps fast,International Conference on Applied …,"O Topsakal, TC Akinci",2023,researchgate.net,22,2
88,Language is not all you need: Aligning perception with language models,Advances in …,"S Huang, L Dong, W Wang, Y Hao…",2024,proceedings.neurips.cc,236,4
89,[PDF] IRSTLM: an open source toolkit for handling large scale language models.,,"M Federico, N Bertoldi, M Cettolo",isca,archive.org,425,8
90,[PDF] AI Psychometrics: Using psychometric inventories to obtain psychological profiles of large language models,OSF preprint,"M Pellert, CM Lechner, C Wagner, B Rammstedt…",2023,files.osf.io,15,1
91,German's next language model,arXiv preprint arXiv:2010.10906,"B Chan, S Schweter, T Möller",2020,arxiv.org,223,4
92,Llm comparative assessment: Zero-shot nlg evaluation through pairwise comparisons using large language models,… of the 18th Conference of the …,"A Liusie, P Manakul, M Gales",2024,aclanthology.org,4,1
93,Recent advances in natural language processing via large pre-trained language models: A survey,ACM Computing …,"B Min, H Ross, E Sulem, APB Veyseh…",2023,dl.acm.org,362,5
94,[PDF] N-gram Counts and Language Models from the Common Crawl.,LREC,"C Buck, K Heafield, B Van Ooyen",2014,171.64.67.140,219,17
95,Mixout: Effective regularization to finetune large-scale pretrained language models,arXiv preprint arXiv:1909.11299,"C Lee, K Cho, W Kang",2019,arxiv.org,180,6
96,Palm: Scaling language modeling with pathways,Journal of Machine …,"A Chowdhery, S Narang, J Devlin, M Bosma…",2023,jmlr.org,3101,9
97,Evaluation high-quality of information from ChatGPT (artificial intelligence—large language model) artificial intelligence on shoulder stabilization surgery,… : The Journal of …,"ET Hurley, BS Crook, SG Lorentz…",2024,Elsevier,9,4
98,Sasha: creative goal-oriented reasoning in smart homes with large language models,Proceedings of the ACM on Interactive …,"E King, H Yu, S Lee, C Julien",2024,dl.acm.org,2,2
99,CamemBERT: a tasty French language model,arXiv preprint arXiv …,"L Martin, B Muller, PJO Suárez, Y Dupont…",2019,arxiv.org,1013,10
100,Large vocabulary speech recognition with multispan statistical language models,IEEE Transactions on Speech and Audio …,JR Bellegarda,2000,ieeexplore.ieee.org,357,11
101,[HTML] How to use large language models in ophthalmology: from prompt engineering to protecting confidentiality,Eye,"O Kleinig, C Gao, JG Kovoor, AK Gupta, S Bacchi…",2024,nature.com,3,4
102,Solving quantitative reasoning problems with language models,Advances in …,"A Lewkowycz, A Andreassen…",2022,proceedings.neurips.cc,376,7
103,[HTML] Parameter-efficient fine-tuning of large-scale pre-trained language models,Nature Machine …,"N Ding, Y Qin, G Yang, F Wei, Z Yang, Y Su…",2023,nature.com,180,3
104,Overview of the clpsych 2024 shared task: Leveraging large language models to identify evidence of suicidality risk in online posts,Proceedings of the …,"J Chim, A Tsakalidis, D Gkoumas…",2024,aclanthology.org,10,1
105,[PDF] Decoding with large-scale neural language models improves translation,… in natural language …,"A Vaswani, Y Zhao, V Fossum…",2013,aclanthology.org,297,9
106,Language models are weak learners,Advances in Neural …,"H Manikandan, Y Jiang…",2023,proceedings.neurips.cc,2,5
107,"Using deepspeed and megatron to train megatron-turing nlg 530b, a large-scale generative language model",arXiv preprint arXiv …,"S Smith, M Patwary, B Norick, P LeGresley…",2022,arxiv.org,459,4
108,Megatron-lm: Training multi-billion parameter language models using model parallelism,arXiv preprint arXiv …,"M Shoeybi, M Patwary, R Puri, P LeGresley…",2019,arxiv.org,1240,4
109,Scaling laws for neural language models,arXiv preprint arXiv …,"J Kaplan, S McCandlish, T Henighan, TB Brown…",2020,arxiv.org,1030,7
110,A multispan language modeling framework for large vocabulary speech recognition,IEEE Transactions on Speech and Audio …,JR Bellegarda,1998,ieeexplore.ieee.org,261,13
111,Pal: Program-aided language models,International …,"L Gao, A Madaan, S Zhou, U Alon…",2023,proceedings.mlr.press,353,9
112,Code as policies: Language model programs for embodied control,… on Robotics and …,"J Liang, W Huang, F Xia, P Xu…",2023,ieeexplore.ieee.org,326,4
113,Retrieval-augmented multi-modal chain-of-thoughts reasoning for large language models,arXiv preprint arXiv …,"B Liu, C Lyu, Z Min, Z Wang, J Su, L Wang",2023,arxiv.org,2,2
114,"Robustness, security, privacy, explainability, efficiency, and usability of large language models for code",arXiv preprint arXiv:2403.07506,"Z Yang, Z Sun, TZ Yue, P Devanbu, D Lo",2024,arxiv.org,1,2
115,Differentially private fine-tuning of language models,arXiv preprint arXiv …,"D Yu, S Naik, A Backurs, S Gopi, HA Inan…",2021,arxiv.org,204,3
116,Api is enough: Conformal prediction for large language models without logit-access,arXiv preprint arXiv:2403.01216,"J Su, J Luo, H Wang, L Cheng",2024,arxiv.org,1,2
117,Release strategies and the social impacts of language models,arXiv preprint arXiv …,"I Solaiman, M Brundage, J Clark, A Askell…",2019,arxiv.org,385,4
118,Quantifying memorization across neural language models,arXiv preprint arXiv …,"N Carlini, D Ippolito, M Jagielski, K Lee…",2022,arxiv.org,353,6
119,[HTML] Framework-based qualitative analysis of free responses of Large Language Models: Algorithmic fidelity,Plos one,"A Amirova, T Fteropoulli, N Ahmed, MR Cowie…",2024,journals.plos.org,1,2
120,[HTML] On the limitations of large language models in clinical diagnosis,medRxiv,"JT Reese, D Danis, JH Caufield, T Groza, E Casiraghi…",2023,ncbi.nlm.nih.gov,4,5
121,[PDF] Could large language models be conscious? A perspective from the free energy principle,"PhilArchive,  Feb",W Wiese,2023,core.ac.uk,6,1
122,Lost in translation: A study of bugs introduced by large language models while translating code,2024 IEEE/ACM 46th …,"R Pan, AR Ibrahimzada, R Krishna…",2024,computer.org,1,2
123,[PDF] Language models of protein sequences at the scale of evolution enable accurate structure prediction,BioRxiv,"Z Lin, H Akin, R Rao, B Hie, Z Zhu, W Lu…",2022,biorxiv.org,311,3
124,On the dangers of stochastic parrots: Can language models be too big?🦜,Proceedings of the 2021 …,"EM Bender, T Gebru, A McMillan",2021,dl.acm.org,3323,11
125,Exploring the limits of language modeling,arXiv preprint arXiv …,"R Jozefowicz, O Vinyals, M Schuster…",2016,arxiv.org,1339,7
126,Scaling instruction-finetuned language models,arXiv preprint arXiv …,"HW Chung, L Hou, S Longpre, B Zoph, Y Tay…",2022,arxiv.org,1389,2
127,SciBERT: A pretrained language model for scientific text,arXiv preprint arXiv:1903.10676,"I Beltagy, K Lo, A Cohan",2019,arxiv.org,2895,6
128,Language models as knowledge bases?,arXiv preprint arXiv …,"F Petroni, T Rocktäschel, P Lewis, A Bakhtin…",2019,arxiv.org,2145,7
129,[PDF] Self-specialization: Uncovering latent expertise within large language models,arXiv preprint arXiv …,"J Kang, H Luo, JG Yada Zhu, D Cox…",2023,southnlp.github.io,2,2
130,Evolutionary-scale prediction of atomic-level protein structure with a language model,Science,"Z Lin, H Akin, R Rao, B Hie, Z Zhu, W Lu, N Smetanin…",2023,science.org,946,8
131,CLLMs: Consistency Large Language Models,arXiv preprint arXiv:2403.00835,"S Kou, L Hu, Z He, Z Deng, H Zhang",2024,arxiv.org,0,1
132,Connectionist language modeling for large vocabulary continuous speech recognition,2002 IEEE International Conference …,"H Schwenk, JL Gauvain",2002,ieeexplore.ieee.org,186,11
133,Continuous space language models,Computer Speech & Language,H Schwenk,2007,Elsevier,660,6
134,Direct preference optimization: Your language model is secretly a reward model,Advances in …,"R Rafailov, A Sharma, E Mitchell…",2024,proceedings.neurips.cc,390,8
135,Retrieval augmented language model pre-training,… on machine learning,"K Guu, K Lee, Z Tung, P Pasupat…",2020,proceedings.mlr.press,1318,10
136,Language models are few-shot learners,Advances in neural …,"T Brown, B Mann, N Ryder…",2020,proceedings.neurips.cc,22706,33
137,Training language models to follow instructions with human feedback,Advances in neural …,"L Ouyang, J Wu, X Jiang, D Almeida…",2022,proceedings.neurips.cc,5542,17
138,Supervised contrastive learning for pre-trained language model fine-tuning,arXiv preprint arXiv:2011.01403,"B Gunel, J Du, A Conneau, V Stoyanov",2020,arxiv.org,390,4
139,Can language models learn from explanations in context?,arXiv preprint arXiv …,"AK Lampinen, I Dasgupta, SCY Chan…",2022,arxiv.org,183,7
140,Materials science in the era of large language models: a perspective,arXiv preprint arXiv:2403.06949,"G Lei, R Docherty, SJ Cooper",2024,arxiv.org,0,1
141,Ctrl: A conditional transformer language model for controllable generation,arXiv preprint arXiv …,"NS Keskar, B McCann, LR Varshney, C Xiong…",2019,arxiv.org,1051,2
142,Future Potential Challenges of Using Large Language Models Like ChatGPT in Daily Medical Practice,Journal of the American College of Radiology,S Sedaghat,2024,Elsevier,2,4
143,Finbert: A pretrained language model for financial communications,arXiv preprint arXiv:2006.08097,"Y Yang, MCS Uy, A Huang",2020,arxiv.org,203,3
144,Show your work: Scratchpads for intermediate computation with language models,arXiv preprint arXiv …,"M Nye, AJ Andreassen, G Gur",2021,arxiv.org,383,4
145,Utilizing large language models to identify evidence of suicidality risk through analysis of emotionally charged posts,Proceedings of the 9th …,"AY Uluslu, A Michail, S Clematide",2024,aclanthology.org,2,2
146,Opt: Open pre-trained transformer language models,arXiv preprint arXiv …,"S Zhang, S Roller, N Goyal, M Artetxe, M Chen…",2022,arxiv.org,1484,2
147,MAPLE: Mobile App Prediction Leveraging Large Language model Embeddings,Proceedings of the ACM on Interactive …,"Y Khaokaew, H Xue, FD Salim",2024,dl.acm.org,0,1
148,HAMiSoN-Generative at ClimateActivism 2024: Stance Detection using generative large language models,Proceedings of the 7th Workshop …,JM Fraile,2024,aclanthology.org,1,2
149,[PDF] Bloom: A 176b-parameter open-access multilingual language model,,"T Le Scao, A Fan, C Akiki, E Pavlick, S Ilić, D Hesslow…",2022,inria.hal.science,1076,11
150,Editing Conceptual Knowledge for Large Language Models,arXiv preprint arXiv …,"X Wang, S Mao, N Zhang, S Deng, Y Yao…",2024,arxiv.org,0,1
151,Flamingo: a visual language model for few-shot learning,Advances in neural …,"JB Alayrac, J Donahue, P Luc…",2022,proceedings.neurips.cc,1692,5
152,Compositional morphology for word representations and language modelling,International Conference on Machine …,"J Botha, P Blunsom",2014,proceedings.mlr.press,294,17
153,Glam: Efficient scaling of language models with mixture-of-experts,International …,"N Du, Y Huang, AM Dai, S Tong…",2022,proceedings.mlr.press,316,5
154,SaulLM-7B: A pioneering Large Language Model for Law,arXiv preprint arXiv …,"P Colombo, TP Pires, M Boudiaf, D Culver…",2024,arxiv.org,0,1
155,On the Origins of Linear Representations in Large Language Models,arXiv preprint arXiv …,"Y Jiang, G Rajendran, P Ravikumar, B Aragam…",2024,arxiv.org,0,1
156,Response to Comment for “Understanding Radiological Journal Views and Policies on Large Language Models in Academic Writing”,Journal of the American College of …,"H Li, JT Moon, HM Trivedi, JW Gichoya",2023,jacr.org,3,5
157,[PDF] A dynamic language model for speech recognition,… and Natural Language …,"F Jelinek, B Merialdo, S Roukos…",1991,aclanthology.org,242,8
158,Number without a language model,Proceedings of the …,"E Spaepen, M Coppola, ES Spelke…",2011,National Acad Sciences,223,24
159,[PDF] Scalable modified Kneser-Ney language model estimation,Proceedings of the 51st …,"K Heafield, I Pouzyrevsky, JH Clark…",2013,aclanthology.org,677,12
160,Progen: Language modeling for protein generation,arXiv preprint arXiv …,"A Madani, B McCann, N Naik, NS Keskar…",2020,arxiv.org,229,11
161,[PDF] Language models are unsupervised multitask learners,OpenAI blog,"A Radford, J Wu, R Child, D Luan, D Amodei…",2019,blocksml.com,9116,32
162,Language modeling with gated convolutional networks,… conference on machine …,"YN Dauphin, A Fan, M Auli…",2017,proceedings.mlr.press,2480,12
163,Gpt-neox-20b: An open-source autoregressive language model,arXiv preprint arXiv …,"S Black, S Biderman, E Hallahan, Q Anthony…",2022,arxiv.org,476,7
164,Linkbert: Pretraining language models with document links,arXiv preprint arXiv:2203.15827,"M Yasunaga, J Leskovec, P Liang",2022,arxiv.org,210,11
165,Language models (mostly) know what they know,arXiv preprint arXiv …,"S Kadavath, T Conerly, A Askell, T Henighan…",2022,arxiv.org,201,2
166,Learning differentially private recurrent language models,arXiv preprint arXiv …,"HB McMahan, D Ramage, K Talwar…",2017,arxiv.org,1202,6
167,Toolformer: Language models can teach themselves to use tools,Advances in …,"T Schick, J Dwivedi",2024,proceedings.neurips.cc,681,4
168,Evaluating the Elementary Multilingual Capabilities of Large Language Models with MultiQ,arXiv preprint arXiv …,"C Holtermann, P Röttger, T Dill, A Lauscher",2024,arxiv.org,0,1
169,Self-instruct: Aligning language models with self-generated instructions,arXiv preprint arXiv …,"Y Wang, Y Kordi, S Mishra, A Liu, NA Smith…",2022,arxiv.org,850,8
170,LLMvsSmall Model? Large Language Model Based Text Augmentation Enhanced Personality Detection Model,arXiv preprint arXiv …,"L Hu, H He, D Wang, Z Zhao, Y Shao, L Nie",2024,arxiv.org,0,1
171,Ehragent: Code empowers large language models for few-shot complex tabular reasoning on electronic health records,… Language Model  …,"W Shi, R Xu, Y Zhuang, Y Yu, J Zhang…",2024,openreview.net,1,1
172,Instructblip: Towards general-purpose vision-language models with instruction tuning,Advances in …,"W Dai, J Li, D Li, AMH Tiong, J Zhao…",2024,proceedings.neurips.cc,416,6
173,[HTML] Evaluating the generation capabilities of large Chinese language models,AI Open,"H Zeng, J Xue, M Hao, C Sun, B Ning, N Zhang",2024,Elsevier,3,3
174,ZVQAF: Zero-shot visual question answering with feedback from large language models,Neurocomputing,"C Liu, C Wang, Y Peng, Z Li",2024,Elsevier,0,1
175,Building resilient SMEs: Harnessing large language models for cyber security in Australia,"Journal of AI,  Robotics & Workplace …",B Kereopa,2024,ingentaconnect.com,4,2
176,The pile: An 800gb dataset of diverse text for language modeling,arXiv preprint arXiv …,"L Gao, S Biderman, S Black, L Golding…",2020,arxiv.org,392,7
177,On Protecting the Data Privacy of Large Language Models (LLMs): A Survey,arXiv preprint arXiv …,"B Yan, K Li, M Xu, Y Dong, Y Zhang, Z Ren…",2024,arxiv.org,0,1
178,[PDF] Lstm neural networks for language modeling.,,"M Sundermeyer, R Schlüter, H Ney",isca,archive.org,2651,9
179,BERTweet: A pre-trained language model for English Tweets,arXiv preprint arXiv:2005.10200,"DQ Nguyen, T Vu, AT Nguyen",2020,arxiv.org,798,7
180,Executing Natural Language-Described Algorithms with Large Language Models: An Investigation,arXiv preprint arXiv …,"X Zheng, Q Zhu, H Lin, Y Lu, X Han, L Sun",2024,arxiv.org,0,1
181,Robbert: a dutch roberta-based language model,arXiv preprint arXiv:2001.06286,"P Delobelle, T Winters, B Berendt",2020,arxiv.org,222,9
182,Atlas: Few-shot learning with retrieval augmented language models,arXiv preprint arXiv …,"G Izacard, P Lewis, M Lomeli, L Hosseini…",2022,arxiv.org,317,3
